time,open,high,low,close,Volume
1771328520,1.35782,1.35786,1.35759,1.35772,260
1771328700,1.35772,1.35773,1.3571,1.35732,250
1771328880,1.35731,1.35756,1.35662,1.35674,325
1771329060,1.35674,1.35708,1.35669,1.3569,257
1771329240,1.35691,1.35692,1.35596,1.35622,376
1771329420,1.35622,1.35662,1.35622,1.35649,651
1771329600,1.3565,1.35656,1.35608,1.35646,522
1771329780,1.35646,1.35689,1.35632,1.35667,456
1771329960,1.35668,1.35694,1.35662,1.35688,349
1771330140,1.35688,1.35716,1.35682,1.35714,339
1771330320,1.35715,1.35716,1.35678,1.3568,268
1771330500,1.35681,1.35696,1.35648,1.3565,395
1771330680,1.35651,1.35652,1.35602,1.35606,362
1771330860,1.35605,1.35632,1.35598,1.356,216
1771331040,1.35598,1.3562,1.3555,1.35613,429
1771331220,1.35614,1.35623,1.3559,1.3561,342
1771331400,1.3561,1.35612,1.3557,1.35591,325
1771331580,1.3559,1.35593,1.35576,1.35587,221
1771331760,1.35586,1.35593,1.35552,1.35589,441
1771331940,1.3559,1.3559,1.35549,1.3556,359
1771332120,1.3556,1.3556,1.35524,1.35529,316
1771332300,1.3553,1.35532,1.35482,1.35492,563
1771332480,1.35493,1.35507,1.35474,1.35476,463
1771332660,1.35472,1.35504,1.35468,1.35502,453
1771332840,1.355,1.35533,1.355,1.35512,419
1771333020,1.35513,1.35514,1.35472,1.35488,464
1771333200,1.35484,1.355,1.35436,1.35467,552
1771333380,1.35468,1.35503,1.35468,1.35473,501
1771333560,1.35472,1.3549,1.3546,1.3546,392
1771333740,1.3546,1.35464,1.35415,1.35452,611
1771333920,1.35456,1.35462,1.35426,1.35438,671
1771334100,1.3544,1.35444,1.35408,1.35411,490
1771334280,1.35412,1.35412,1.35322,1.3536,879
1771334460,1.35356,1.35424,1.35352,1.35412,686
1771334640,1.35408,1.35414,1.35382,1.35392,521
1771334820,1.35394,1.35432,1.35394,1.3541,317
1771335000,1.3541,1.35451,1.35402,1.35412,459
1771335180,1.3541,1.35412,1.35367,1.35393,718
1771335360,1.35394,1.35418,1.35355,1.35362,841
1771335540,1.35361,1.35365,1.35326,1.35329,546
1771335720,1.35328,1.35332,1.35268,1.35272,570
1771335900,1.35272,1.3528,1.35246,1.3527,701
1771336080,1.35268,1.35278,1.35256,1.35263,687
1771336260,1.35264,1.3539,1.35248,1.35349,1669
1771336440,1.3535,1.35356,1.35272,1.35298,817
1771336620,1.35297,1.35303,1.35246,1.35249,596
1771336800,1.35248,1.35248,1.35199,1.3521,673
1771336980,1.35209,1.35258,1.35191,1.35252,761
1771337160,1.35252,1.35282,1.35222,1.35248,721
1771337340,1.35247,1.35247,1.35194,1.35197,722
1771337520,1.35198,1.3523,1.35184,1.35209,762
1771337700,1.3521,1.35254,1.35192,1.3524,696
1771337880,1.35241,1.35266,1.35222,1.35264,662
1771338060,1.35264,1.35285,1.3525,1.35257,667
1771338240,1.35256,1.3526,1.35214,1.35238,575
1771338420,1.3524,1.35242,1.35184,1.35219,513
1771338600,1.35218,1.35288,1.35201,1.35251,1239
1771338780,1.3525,1.3527,1.35224,1.3526,960
1771338960,1.35261,1.35322,1.3525,1.35259,932
1771339140,1.3526,1.35325,1.35241,1.3531,916
1771339320,1.35309,1.35309,1.35252,1.35288,959
1771339500,1.35288,1.35294,1.35249,1.35272,1131
1771339680,1.35274,1.35312,1.3522,1.3522,1291
1771339860,1.3522,1.35252,1.35211,1.3522,1070
1771340040,1.3522,1.3524,1.352,1.35234,1098
1771340220,1.35233,1.35241,1.3518,1.35207,690
1771340400,1.35206,1.3521,1.35118,1.3513,1162
1771340580,1.3513,1.35246,1.35124,1.35245,1239
1771340760,1.35244,1.35255,1.35194,1.35206,879
1771340940,1.35208,1.35219,1.35171,1.35171,880
1771341120,1.35172,1.35202,1.35134,1.35158,844
1771341300,1.35158,1.35176,1.35149,1.35158,663
1771341480,1.35159,1.35218,1.35142,1.35144,772
1771341660,1.35142,1.35142,1.3511,1.35128,638
1771341840,1.35127,1.3514,1.35102,1.35115,490
1771342020,1.35114,1.35114,1.35062,1.35062,542
1771342200,1.35063,1.35088,1.35038,1.35038,639
1771342380,1.3504,1.35076,1.35022,1.35034,843
1771342560,1.35033,1.35064,1.35033,1.35042,621
1771342740,1.3504,1.35048,1.35002,1.35003,754
1771342920,1.35002,1.35064,1.34963,1.35062,769
1771343100,1.35062,1.3508,1.3503,1.3506,710
1771343280,1.3506,1.35088,1.34994,1.35019,647
1771343460,1.35018,1.35058,1.34959,1.3499,664
1771343640,1.3499,1.35026,1.34969,1.35016,1097
1771343820,1.35014,1.3506,1.35001,1.35032,745
1771344000,1.3503,1.35086,1.35028,1.35082,666
1771344180,1.35084,1.3509,1.35038,1.35084,528
1771344360,1.35082,1.35154,1.3507,1.3512,475
1771344540,1.35117,1.3519,1.35108,1.35184,506
1771344720,1.35184,1.35199,1.35152,1.35185,558
1771344900,1.35186,1.35204,1.35168,1.35201,558
1771345080,1.35202,1.35244,1.35195,1.35234,498
1771345260,1.35234,1.35294,1.35234,1.35282,558
1771345440,1.35278,1.35318,1.35251,1.35314,540
1771345620,1.35314,1.35315,1.35269,1.35281,648
1771345800,1.3528,1.35322,1.35277,1.35303,608
1771345980,1.35304,1.35336,1.35291,1.35335,610
1771346160,1.35338,1.3536,1.35324,1.35348,585
1771346340,1.35347,1.35358,1.3533,1.35356,461
1771346520,1.35356,1.35374,1.3534,1.35352,340
1771346700,1.35354,1.35372,1.35352,1.3536,403
1771346880,1.3536,1.35378,1.35348,1.35372,420
1771347060,1.35372,1.35392,1.35363,1.35382,385
1771347240,1.35382,1.35417,1.35368,1.35392,591
1771347420,1.35392,1.35408,1.3538,1.35381,502
1771347600,1.35382,1.35382,1.35347,1.3538,655
1771347780,1.35379,1.3539,1.35359,1.35362,648
1771347960,1.35359,1.35418,1.35359,1.35412,305
1771348140,1.35411,1.35422,1.35392,1.35392,459
1771348320,1.35392,1.35413,1.3537,1.35412,451
1771348500,1.35412,1.35432,1.35404,1.35412,440
1771348680,1.35414,1.35428,1.35411,1.35423,308
1771348860,1.35423,1.35432,1.35402,1.35408,424
1771349040,1.35407,1.35471,1.3539,1.35456,589
1771349220,1.35454,1.35464,1.3544,1.35452,503
1771349400,1.3545,1.35484,1.35445,1.3546,374
1771349580,1.3546,1.35474,1.35426,1.35473,287
1771349760,1.35474,1.35483,1.3546,1.35478,402
1771349940,1.35478,1.3548,1.35446,1.35458,373
1771350120,1.35458,1.35471,1.35422,1.35432,464
1771350300,1.35433,1.35442,1.3541,1.35432,399
1771350480,1.35432,1.35475,1.35428,1.3547,447
1771350660,1.3547,1.35472,1.35439,1.35441,312
1771350840,1.35442,1.35473,1.3543,1.3547,391
1771351020,1.3547,1.35502,1.35462,1.35466,395
1771351200,1.35467,1.35484,1.35412,1.35412,489
1771351380,1.35416,1.3548,1.35414,1.35472,690
1771351560,1.35473,1.35474,1.35446,1.35448,439
1771351740,1.3545,1.35482,1.35446,1.35456,389
1771351920,1.35456,1.35468,1.35436,1.35443,486
1771352100,1.35444,1.35468,1.35438,1.35468,393
1771352280,1.35468,1.35516,1.35458,1.35503,249
1771352460,1.35502,1.35554,1.35501,1.35521,363
1771352640,1.35522,1.3554,1.35519,1.35531,379
1771352820,1.3553,1.35575,1.3553,1.35564,383
1771353000,1.35564,1.35572,1.35544,1.3556,384
1771353180,1.35562,1.35592,1.3556,1.35583,416
1771353360,1.35584,1.35598,1.35572,1.35597,290
1771353540,1.35596,1.35604,1.35584,1.35592,424
